"age_range","gender","stops_recorded","percentage_stops","population","population_percent"
"10-17","Female",8592,2.01327184793612,2743456,4.6033041733485
"10-17","Male",79523,18.6337776028193,2892095,4.85270876705161
"18-24","Female",12192,2.85682150489259,2456236,4.12137152173347
"18-24","Male",120230,28.1722153488546,2501032,4.19653569923416
"over 34","Female",14145,3.31444719379147,17785695,29.8430024098814
"over 34","Male",91943,21.5440239193192,16411824,27.5377545371462
"under 10","Female",32,0.00749821917294642,3297777,5.53341137123128
"under 10","Male",257,0.060220072732726,3458884,5.80373629186266
